feature,rhythm,importance
AB_38,Theta,13.8017
AB_39,Theta,12.8177
AB_60,Alpha,11.303
AB_108,Beta,10.6544
AB_52,Theta,9.2414
AB_78,Alpha,8.4963
AB_100,Beta,8.2655
AB_59,Alpha,8.2089
AB_89,Beta,8.1893
AB_44,Theta,8.0211
AB_22,Delta,7.9639
AB_91,Beta,6.9885
AB_48,Theta,6.9098
AB_63,Alpha,6.8288
AB_34,Theta,6.6832
AB_27,Delta,6.4052
AB_99,Beta,5.987
AB_43,Theta,5.3507
AB_61,Alpha,4.8927
AB_42,Theta,4.6468
